"Music";"Music"
"playlist";"playlist";"playlists"
"album";"album"
"albums";"albums"
"song";"song"
"songs";"songs"

"_MUSIC_UNTITLED_PLAYLIST";"Untitled Playlist"
"_MUSIC_UNTITLED_ALBUM";"Untitled Album"
"_MUSIC_UNTITLED_TRACK";"Untitled Track"
"_MUSIC_DEFAULT_PLAYLIST";"Profile Playlist"
"_MUSIC_DEFAULT_ALBUM";"Profile Album" 
"_MP3MUSIC_UPLOAD_DESCRIPTION";"Click ""Add Songs"" to select one or more songs from your computer. After you have selected the songs, they will begin to upload right away. When your upload is finished, click the button below the song list to save them to your album."
"Click 'Choose File' to select one track from your computer.";"Click 'Choose File' to select one track from your computer."

"ADMIN_ACTIVITY_TYPE_MP3COMMENT_PLAYLIST";"When someone comments on a playlist that I create."
"ADMIN_ACTIVITY_TYPE_MP3MUSIC_PLAYLIST_NEW";"When a new music playlist is created."

"ADMIN_ACTIVITY_TYPE_MP3COMMENT_ALBUM";"When someone comments on an album that I create."
"ADMIN_ACTIVITY_TYPE_MP3MUSIC_ALBUM_NEW";"When a new music album is created."

"ADMIN_ACTIVITY_TYPE_MP3COMMENT_TRACK";"When someone comments on a track that I create."
"ADMIN_ACTIVITY_TYPE_MP3MUSIC_TRACK_NEW";"When a new track is created."

"_ACTIVITY_ACTIONTYPE_MP3COMMENT_PLAYLIST";"Comments on your playlists"
"_ACTIVITY_ACTIONTYPE_MP3MUSIC_PLAYLIST_NEW";"New playlists"

"_ACTIVITY_ACTIONTYPE_MP3COMMENT_ALBUM";"Comments on your albums"
"_ACTIVITY_ACTIONTYPE_MP3MUSIC_ALBUM_NEW";"New albums"
"_ACTIVITY_ACTIONTYPE_MP3MUSIC_TRACK_NEW";"New tracks"
"_ACTIVITY_ACTIONTYPE_MP3COMMENT_TRACK";"Comments on your tracks"

"ACTIVITY_TYPE_MP3MUSIC_SUBSCRIBED_NEW";"When a new album is created by a member you have subscribed to."

"ITEM_TYPE_MP3MUSIC_ALBUM";"Mp3 album"
"ITEM_TYPE_MP3MUSIC_ALBUM_SONG";"Mp3 album song"
"ITEM_TYPE_MP3MUSIC_PLAYLIST";"Mp3 playlist"
"ITEM_TYPE_MP3MUSIC_PLAYLIST_SONG";"Mp3 playlist song"
"ITEM_TYPE_MP3MUSIC_SINGER";"Mp3 singer"
"ITEM_TYPE_MP3MUSIC_SINGER_TYPE";"Mp3 singer type"
